class,has_photo,followers_count,has_occupation,friends_count,online,comments_count,comment_stickers_count,comment_text_length,mean_friend_online,min_friend_online,max_friend_online,mean_friend_age,min_friend_age,max_friend_age,mean_friend_has_photo,min_friend_has_photo,max_friend_has_photo,mean_friend_followers_count,min_friend_followers_count,max_friend_followers_count,mean_comments_count,min_comments_count,max_comments_count,mean_has_attachments,min_has_attachments,max_has_attachments,mean_likes_count,min_likes_count,max_likes_count,mean_reposts_count,min_reposts_count,max_reposts_count,mean_views_count,min_views_count,max_views_count
1,1,47,60,86,0,0.0,0.0,5.761904761904762,0,38,21.3,14,99,0.8636363636363636,0,1,63.88636363636363,0,627,1,16.557215189873418,0,167,2.687721518987342,0,10,2047.196835443038,0,15372,97.99746835443038,0,1041,61754.61443037975,92,499809
1,1,180,48,61,0,0.0,0.0,4.02,0,17,23.25,14,113,0.9615384615384616,0,1,83.46153846153847,0,343,1,0.3733500942803268,0,5,2.145820238843495,1,4,30.918290383406664,12,48,1.3570081709616593,0,9,638.8422375864236,62,1675
1,1,439,179,123,0,0.0,0.0,7.919431279620853,0,40,24.68354430379747,14,121,0.87,0,1,177.43,0,2539,1,27.226359375,0,391,1.5590625,0,10,317.9760859375,0,8064,78.623421875,0,2034,26872.95371875,0,142682
1,1,74,87,0,0,0.0,0.0,6.390804597701149,0,85,31.976190476190474,17,120,0.7222222222222222,0,1,642.0416666666666,0,5962,0,25.45177419354839,0,227,2.050967741935484,0,10,288.03822580645163,0,3925,176.47790322580644,0,1735,62939.94548387096,76,187611
1,1,32868,5000,603,0,0.0,0.0,3.197581928094177,0,56,30.82369942196532,14,122,0.9855972187732804,0,1,1616.5105537621057,0,179074,1,3.3457534246575342,0,509,1.1532876712328768,1,7,164.83054794520547,1,10000,26.845479452054796,0,4761,14872.348904109587,148,491723
1,1,245,247,138,1,0.0,3.0,8.288321167883211,0,41,25.910569105691057,15,120,0.9386503067484664,0,1,211.49079754601223,0,6378,0,2.8638983050847457,0,48,5.732584745762712,0,10,13.606525423728812,0,1044,14.191398305084746,0,505,11559.25622881356,14,750892
1,1,268,282,23,0,0.0,0.0,2.9547038327526134,0,36,25.454545454545453,14,121,0.6944444444444444,0,1,158.0,0,4547,1,4071.879907024793,115,37313,2.8354855371900825,1,10,52160.73347107438,5149,380782,2186.756973140496,80,16637,1694786.016012397,0,14484937
1,1,35088,49,0,0,0.0,0.0,3.4489795918367347,0,70,29.782608695652176,17,120,0.7209302325581395,0,1,2027.1162790697676,0,14810,0,35.02434782608696,0,316,2.0558695652173915,0,10,579.9236956521739,0,3612,169.0895652173913,0,2698,127109.88760869566,11,739487
1,1,242,49,18,0,0.0,0.0,5.056603773584905,0,23,20.57692307692308,14,47,0.8571428571428571,0,1,219.25,0,4030,1,1.2767,0,42,2.5278,0,10,44.1672,1,205,2.649,0,20,1176.2045,13,3968
1,1,83,248,60,1,0.0,7.0,4.442748091603053,0,31,21.90983606557377,14,115,0.8364779874213837,0,1,71.21383647798743,0,1117,0,27.226359375,0,391,1.5590625,0,10,317.9760859375,0,8064,78.623421875,0,2034,26872.95371875,0,142682
1,1,148,781,190,727,0.9312242090784044,0.6932599724896836,7.407925407925408,0,85,22.52380952380953,14,121,0.8561151079136691,0,1,410.2320143884892,0,94984,0,32.15,0,1124,1.115925925925926,0,10,697.5808641975309,1,12923,42.36839506172839,0,641,29289.221728395063,75,560301
1,1,22,136,24,0,0.0,0.0,3.692307692307693,0,44,20.94736842105263,14,82,0.7431192660550459,0,1,96.44954128440368,0,3581,1,147.49958333333333,6,1975,1.9547222222222225,0,10,12174.981805555555,344,45805,108.05583333333334,4,1325,327982.41875,4823,1822775
1,1,156,146,39,0,0.0,0.0,4.031055900621118,0,26,22.695652173913043,15,122,0.9222222222222224,0,1,214.11111111111111,0,14569,0,79.72234146341464,0,747,1.733609756097561,0,9,11597.48487804878,0,91219,1852.688536585366,0,24937,487380.5547804878,17,15555349
